Texto,Data,Redes Sociais,sentimento
#penteado #festajunina #aesthetic #foryoupage #tiktok,2023-05-26 04:56 AM,tiktok.com,Neutral
#foryou #fyp #CapCut #pubgmobile #festajunina,2023-05-26 04:54 AM,tiktok.com,Neutral
[2201] - Queria saber quem é o garoto de bigode e camisa xadrez que estava com capacete no ru e se ele beija garotas,2023-05-26 04:48 AM,twitter.com,Neutral
"Eu fui mostrar o menino pra Paula e ela achei muleke, seco, sem estrutura e nem tem barriga pra encher essa camisa xadrez Kkkkkkk bicho, ela matou o encanto em 1 minuto",2023-05-26 04:43 AM,twitter.com,Negative
ELES GIRANDO KAKAKKAKKAKAKA#mteu #comenta #humor #surtos #festajunina #quadrilha,2023-05-26 04:42 AM,tiktok.com,Neutral
🔥🎆 JUNINA / ruanoliivas / studiooliveira / Música instrumental 🎸🎷 Também disponível em todas as plataformas digitais. Visite o Site oficial Lá você tem acesso a todas as outras redes e plataformas de streaming. #nordeste #saojoao #forró https://www.instagram.com/reel/CstbfJTrjwT/?igshid=MTc4MmM1YmI2Ng==,2023-05-26 04:41 AM,twitter.com,Neutral
🤡 #festajunina,2023-05-26 04:36 AM,tiktok.com,Neutral
Video can be found here,2023-05-26 04:31 AM,youtube.com,Positive
Video can be found here,2023-05-26 04:14 AM,youtube.com,Neutral
Video can be found here,2023-05-26 04:12 AM,youtube.com,Neutral
colecionando momentos da nossa última quadrilha❤️❤️ #escola #ensinomedio #fyp #parati #terceirao2023 #foryou #saojoao #festajunina #quadrilhajunina,2023-05-26 03:59 AM,tiktok.com,Positive
MELHOR BOLO PAÇOQUINHA 😍. ÓTIMO PARA FESTA JUNINA 🔥,2023-05-26 03:52 AM,youtube.com,Positive
"Mas minino!! Vcs estão preocupados com o presente do dia dos namorados, eu tô pensando é na canjica de São João, o chá de milho,pipoquinha,cocada,a paçoquinha. #festajunina",2023-05-26 03:51 AM,twitter.com,Neutral
"Demonstração do vestido de festa junina infantil produzido pela confecção Maria Marina, links para compra no primeiro ...",2023-05-26 03:44 AM,youtube.com,Neutral
Video can be found here,2023-05-26 03:44 AM,youtube.com,Neutral
Crina Negra - #patrulha #crinanegra #saojoao #festajunina #quadrilhajunina #dancajunina #quadrilhas #fogueiradesaojoao #meucavaloeforte #musicas #musicasparastatus #videos #legenda #parastatus #videosparastatus #legendado #pop #cover #music #movie #tipografia #musicalegendada #legendademusica #edit #kinhaof #mojuidoscampos,2023-05-26 03:43 AM,tiktok.com,Neutral
Video can be found here,2023-05-26 03:36 AM,youtube.com,Neutral
Video can be found here,2023-05-26 03:34 AM,youtube.com,Neutral
"A Prefeitura de Bauru, por meio da Secretaria de Desenvolvimento Econômico, Turismo e Renda (Sedecon) e com o apoio do Serviço Social do Comércio (Sesc), realizará a segunda edição da Festa Junina Regional, no dia 16 de junho, uma sexta-feira, no Parque Vitória Régia, com entrada gratuita.",2023-05-26 03:34 AM,www2.bauru.sp.gov.br,Neutral
Nova música de #ClaudiaLeitte com participação de #Nattan: https://ssacarnaval.blogspot.com/2023/05/nova-musica-de-claudia-leitte-com.html #SSACARNAVAL #SAOJOAO #ESPECIALISTAS @ClaudiaLeitte @EuSouNattan https://twitter.com/brunoalefbigode/status/1662050202977550336 https://t.co/J4GzLLvaWK,2023-05-26 03:31 AM,twitter.com,Neutral
"UMA EMPRESA DE RH EXCLUSIVA PARA SUPERMERCADOS Ao lado dos supermercadistas, quem mais entende de ...",2023-05-26 03:30 AM,youtube.com,Neutral
Video can be found here,2023-05-26 03:25 AM,youtube.com,Neutral
Gravidez em Junho!! #festajunina #fyp #tiktok #fertilidade #fertilidadefeminina #querosermae #brunamoretii #brunamoretii🔮 #moretii #moretii🔮 #brunaespiritualista🔮,2023-05-26 03:22 AM,tiktok.com,Positive
Video can be found here,2023-05-26 03:22 AM,youtube.com,Negative
"Dando continuidade ao ‘São João dos Bairros’ em Petrolina, neste final de semana será a vez da comunidade da Cohab Massangano receber a festa junina [...] A programação acontecerá nesta sexta-feira (26) e sábado (27) a partir das 20h, no pátio de ...",2023-05-26 03:20 AM,waldineypassos.com.br,Neutral
Festa junina já movimenta comércio votuporanguense,2023-05-26 03:16 AM,youtube.com,Neutral
Festa junina já movimenta comércio votuporanguense,2023-05-26 03:16 AM,youtube.com,Neutral
[ Descubra Qual é a Palavra ] Tem Na Festa Junina: Quiz Com Letras Embaralhadas ❤ Receitas Para Emagrecer: ...,2023-05-26 03:15 AM,youtube.com,Neutral
Receita fácil de pamonha de liquidificador,2023-05-26 03:14 AM,youtube.com,Neutral
Video can be found here,2023-05-26 03:14 AM,youtube.com,Neutral
É 🤡 #fy #junina #festajunina,2023-05-26 03:11 AM,tiktok.com,Neutral
🙏 agora vai 🙏 Junho no #Nordeste 🎁 de Deus ❤️ #FestaJunina 🎆💃🎇💃 https://t.co/1Np6K1aBY7,2023-05-26 03:08 AM,twitter.com,Positive
"... [...] “A cada ano a festa reforça o título de grande festa junina da região [...] Toda uma estrutura foi planejada para recepcionar milhares de pessoas por noite, afinal, este evento também contribui com o fortalecimento do nosso comércio e do nosso turismo...",2023-05-26 03:02 AM,emsergipe.com.br,Neutral
BREGUEDÉ – BOLINHO FRITO DE MANDIOCA SEQUINHO E SABOROSO Esse é um bolinho típico da região de Rinópolis no ...,2023-05-26 03:02 AM,youtube.com,Neutral
Video can be found here,2023-05-26 03:00 AM,youtube.com,Positive
Já preparou tudo para o seu arraial? 🛍️💜🤠 SELECIONADOS FESTA JUNINA: https://shope.ee/qERYxC0bx CUPONS: http://shope.ee/99tZIvikL3 #cupomshopee #cupom #descontoshopee #fretegratisshopee #shopee #acheiparavoce #desconto #promo #acahdinhosdashopee #festajunina https://t.co/EquJMOXoaI,2023-05-26 02:55 AM,twitter.com,Positive
laço de pompom para sao joao festas juninas,2023-05-26 02:54 AM,youtube.com,Neutral
BAIXE AGORA - https://www.suamusica.com.br/ManimVaqueiroCdNovoRD.,2023-05-26 02:52 AM,youtube.com,Neutral
São João chegando 😍♥️ #piseiroclandestino #saojoao #festajunina #musicadefestajunina #statusvideo #musicadomomento #tipografiasvirais #músicapiseiro #músicasertaneja #forróparastatus #statuswhatsapp #músicasdeforró #MeuQueridoNordeste #pisadinhaprastatus #tipografias #tipografiasmusicas #sertanejoprastatus #forróstatus #tipografia #músicaslegendada,2023-05-26 02:48 AM,tiktok.com,Positive
"Boy minha camisa xadrez não vai chegar á tempo pra eu usar no bar das sapatão, que ódio",2023-05-26 02:46 AM,twitter.com,Negative
"Sertanejo, samba, rock, forró, música clássica. Não importa o gosto musical, o fim de semana do DF oferece opções para diferentes estilos e inclui uma das atrações preferidas dos brasileiros na programação: festas juninas. Confira a seleção do ...",2023-05-26 02:45 AM,7minutos.com.br,Neutral
"@petitfrodo @Jonnn91 @artur_bap20 Que isso, não fala mal da camisa xadrez 😢",2023-05-26 02:41 AM,twitter.com,Negative
Lembrando que parcelamos suas compras em até 10x nos cartões de crédito e no Bônuscred em 3x ✅SEM ACRÉSCIMO 📲Atendimento Online: (45) 9 9927-5106 📌 Avenida ... [...] #festajunina #carpira #milhoverde #quentão #pinhao #quadrilha #xadrez #bandeirinhas,2023-05-26 02:40 AM,tiktok.com,Neutral
Melhor época chegando. Já estou pronta viu? #SaoJoao #festajunina #forro #bahia,2023-05-26 02:40 AM,twitter.com,Positive
Video can be found here,2023-05-26 02:39 AM,youtube.com,Positive
Nao me canso de dizer que eu tenho as melhores pessoas comigo hoje. Eu vou fazer de tudo tudo pra nao perder mais ninguem. Sei que nao ta no meu controle mas se depender de mim guardo todos dentro do meu bolso esquerdo da minha camisa xadrez,2023-05-26 02:35 AM,twitter.com,Positive
(canal de artesanato voltado para o público adulto) Material: - Fita nº 9 (38 mm a 40 mm) 1 pedaço de 32 cm para o laço. - Fita nº ...,2023-05-26 02:28 AM,youtube.com,Neutral
Minha namorada sentiu dores estranhas e teve que fazer uma cirurgia de última hora! (é sério) #Parte1 #ujoaozinho #ujoãozinho #Maria #Bela #diadosnamorados #tropadotubarao #caiunomeupapin #festajunina,2023-05-26 02:27 AM,tiktok.com,Negative
"Baixe este arquivo de PSD grátis sobre Festa junina logotipo 3d são joão no brasil para composição, e descubra mais de 52 Milhões de recursos gráficos profissionais no Freepik. #freepik #psd #festajunina #sãopedro #festadesãojoão",2023-05-26 02:19 AM,br.freepik.com,Neutral
"Vem aí o 4° intermunicipal de quadrilhas juninas de Goianésia do Pará, garanta já sua inscrição aberta até o dia 31 de maio. Siga http://instagram.com/papodequadrilha e no http://tiktok.com/@papodequadrilha #festajunina #quadrilha #quadrilhajunina #papodequadrilha https://t.co/4agqDKbxgy",2023-05-26 02:08 AM,twitter.com,Neutral
oii gente se inscrevam no canal deixa o like e comenta oq achou do vídeo... me segue no Instagram: ...,2023-05-26 02:00 AM,youtube.com,Neutral
RENANZIN PRESSÃO - SÃO JOÃO CHEGOU.,2023-05-26 02:00 AM,youtube.com,Negative
Eu não tenho uma camisa xadrez pra ir na festa junina do colher. Alguma boa alma poderia me emprestar né,2023-05-26 01:58 AM,twitter.com,Neutral
"... [...] Uma grande variedade de petiscos e lanches, como hambúrgueres, espetinhos, pastéis, coxinhas e shawarmas serão atrações do evento, assim como milho verde, pamonha, frutas, pães, mel, bolos e docinhos e pipoca gourmet [...] O público terá à disposição...",2023-05-26 01:58 AM,dpontanews.com.br,Neutral
"Bem vindo ao canal Desenhos Fáceis Lu Pedroso, aqui vc encontra tutoriais de como fazer desenhos simples e práticos.",2023-05-26 01:55 AM,youtube.com,Neutral
Música FESTA JUNINA/LuLuca em Cai Cai Balão aqui na minha mão/ Kids song,2023-05-26 01:54 AM,youtube.com,Neutral
"agora como fazer o melhor bolinho de legumes, basta misturar repolho, ovo e mais 3 ingredientes Bolinho fresquinho leve e saboroso ideal para substituir o pão Pavê de Coco Clássico melhor forma de preparar, vem aprender agora de uma vez por todas Pamonha assim você nunca fez! basta usar o liquidificador, simples e fácil Costela na panela de pres",2023-05-26 01:51 AM,revolucaodesabores.com,Positive
"O prefeito lembrou que a festa junina movimenta o comércio e a economia regional, especialmente os segmentos como hotelaria, pousadas, restaurantes, bares e transportes com a perspectiva de criação de até 2.500 postos de trabalho temporário",2023-05-26 01:40 AM,peleja.blog.br,Neutral
"agora como fazer o melhor bolinho de legumes, basta misturar repolho, ovo e mais 3 ingredientes Bolinho fresquinho leve e saboroso ideal para substituir o pão Pavê de Coco Clássico melhor forma de preparar, vem aprender agora de uma vez por todas Pamonha assim você nunca fez! basta usar o liquidificador, simples e fácil Costela na panela de pres",2023-05-26 01:37 AM,revolucaodesabores.com,Positive
Festas de São João em Braga durante dez dias com Júlio Pereira e Plutónio #Braga #SaoJoao https://www.diariodominho.pt/noticias/2023-05-26-festas-de-sao-joao-em-braga-durante-10-dias-com-julio-pereira-e-plutonio-6470984e68087,2023-05-26 01:35 AM,twitter.com,Neutral
"Dia 16 de junho, literalmente, o forró vai “dar no Centro”, mas de São José de Mipibu, no Largo da Câmara Municipal, na segunda edição do Arraiá Pra Ocê, a festa junina do Poder Legislativo Mipibuense [...] O evento está marcado para começar ...",2023-05-26 01:33 AM,olhandoatento.blogspot.com,Neutral
"“Com a proximidade da data é possível que haja aumento nos valores. Mas a tendência é que as vendas melhorem, afinal tem que ter alegria, animação, a canjica e pamonha” afirma o vendedor. O comerciante de laranja, milho e amendoim, Elielson Soares, observa que o período chuvoso contribuiu para uma boa colheita",2023-05-26 01:30 AM,jornalgrandebahia.com.br,Neutral
"agora como fazer o melhor bolinho de legumes, basta misturar repolho, ovo e mais 3 ingredientes Bolinho fresquinho leve e saboroso ideal para substituir o pão Pavê de Coco Clássico melhor forma de preparar, vem aprender agora de uma vez por todas Pamonha assim você nunca fez! basta usar o liquidificador, simples e fácil Costela na panela de pres",2023-05-26 01:29 AM,revolucaodesabores.com,Positive
"Dando continuidade ao ‘São João dos Bairros’ em Petrolina, neste final de semana será a vez da comunidade da Cohab Massangano receber a festa junina [...] A programação acontecerá nesta sexta-feira (26) e sábado (27) a partir das 20h, no pátio de ...",2023-05-26 01:29 AM,blognossavoz.com.br,Neutral
#teens #transition #festajunina @Fer,2023-05-26 01:27 AM,tiktok.com,Neutral
Festa acontecerá na Praça da Matriz e contará com 4 dias de duração #iBahia #SaoJoao #LaurodeFreitas https://mwl.press/IB294365,2023-05-26 01:27 AM,twitter.com,Neutral
"É bem verdade que os sabores e altas temperaturas do verão fazem muito sucesso, especialmente para quem vive num país tropical como o nosso. No entanto, é inegável, também que as temperaturas amenas o",2023-05-26 01:26 AM,jornalzonasul.com.br,Positive
Video can be found here,2023-05-26 01:22 AM,youtube.com,Neutral
O tema do trote era breguice e o povo foi de camisa xadrez e chinelo e meia 😃,2023-05-26 01:11 AM,twitter.com,Positive
dedeunavoz402 #saojoao #festajunina.,2023-05-26 01:10 AM,youtube.com,Neutral
"Além disso, aproveitando que estamos quase em período junino, temos opções com paçoca e de quentão, que não podem faltar no arraial perfeito! A seguir, confira 10 receitas de bebidas quentes para saborear no friozinho [...] de mel Quentão de mel – Foto: Rodrigo Moreira – JOBZ Tempo: 30min Rendimento: 12 porções Dificuldade: fácil Ingredientes: 1",2023-05-26 01:06 AM,davidgomesbalancas.wordpress.com,Positive
São Luis já está preparada para o São João #saoluis #saojoao,2023-05-26 01:04 AM,tiktok.com,Neutral
coloca uma camisa xadrez pra equilibrar https://twitter.com/nastlya/status/1661770854416412675,2023-05-26 12:59 AM,twitter.com,Neutral
@catanymai mas não é todo dia que vc sai pra beber e tem um curau de milho te esperando,2023-05-26 12:56 AM,twitter.com,Neutral
CURAU DE MILHO VERDE DE CORTE PERFEITO - Curau / canjica de milho da roça | FESTA JUNINA,2023-05-26 12:54 AM,youtube.com,Positive
Tiara para festa junina com mini chapéu#short #chapeufestajunina #chapeudecroche #tiara.,2023-05-26 12:47 AM,youtube.com,Neutral
"Festa Junina em Belém do Pará, só as clássicas.",2023-05-26 12:42 AM,youtube.com,Neutral
"Não tem jeito, camisa xadrez, daquela tipo toalha de mesa, virou uniforme pra sexta. E olha, fico bem nela hahah",2023-05-26 12:42 AM,twitter.com,Positive
Video can be found here,2023-05-26 12:40 AM,youtube.com,Neutral
"planejar, mas sem o apoio do Governo da Bahia seria impossível trazer grandes atrações do cenário nacional e, claro, bandas e artistas regionais”, afirmou.O prefeito lembrou que a festa junina movimenta o comércio e a economia regional, especialmente os segmentos como hotelaria, pousadas, restaurantes, bares e transportes com a perspectiva de cri",2023-05-26 12:38 AM,abelhaonoticias.blogspot.com,Neutral
"Araçatuba realiza mutirão da saúde no sábado - Araçatuba (SP) realiza um mutirão da ... [...] · Festa Junina: produção de alimentos típicos é realizada em Rio Preto - Em São José do Rio Preto (SP), a produção de alimentos típicos está em ritmo ...",2023-05-26 12:37 AM,globoplay.globo.com,Neutral
Video can be found here,2023-05-26 12:36 AM,youtube.com,Neutral
As meninas também podem montar seus looks com base em uma camisa xadrez.,2023-05-26 12:35 AM,utahroadsafety.com,Neutral
comprei uma camisa xadrez só pra levar pro chafé kkkkkkkk,2023-05-26 12:29 AM,twitter.com,Neutral
kkkkkk #quadrilhajunina #festajunina #fypシ #vaiprofycaramba,2023-05-26 12:26 AM,tiktok.com,Neutral
"Só 3 ingredientes, o melhor curau de milho verde do mundo!!Meu pai faz curau desde que me lembro, na infância acordava com o cheiro gostoso dele fazendo cura...",2023-05-26 12:26 AM,youtube.com,Positive
Video can be found here,2023-05-26 12:24 AM,youtube.com,Neutral
"Estamos de volta com mais uma Agenda Cultural. Nessa semana falamos de shows, peças de teatro, samba e já começamos a entrar em clima de festa junina. Ouçam o episódio para saber mais! Produção e Edição: Beatriz Assis",2023-05-26 12:23 AM,audioativo.com,Neutral
"Hoje vamos continuar nossa coleção festa junina,Trago um modelinho de Boutique com spark tema junina. Não deixe de vê até o ...",2023-05-26 12:17 AM,youtube.com,Neutral
#foryou #festajunina #arraialtiktok,2023-05-26 12:12 AM,tiktok.com,Neutral
[...] – Avenida Rio Branco e Parque dos Pioneiros DESFILE E EXPOSIÇÃO DA NOVA FROTA MUNICIPAL   17/06 – sábado – 19h – Recinto Poliesportivo FESTA JUNINA DE SANTO ANTÔNIO   18/06 – domingo – 18h – Parque dos Pioneiros FESTIVAL BATERAS IN ADAMANTINA   20 e 21/06 – terça e [...],2023-05-26 12:03 AM,ifolharegional.com.br,Neutral
"Além disso, aproveitando que estamos quase em período junino, temos opções com paçoca e de quentão, que não podem faltar no arraial perfeito! A seguir, confira 10 receitas de bebidas quentes para saborear no friozinho [...] de mel Quentão de mel Foto: Guia da Cozinha Quentão de mel - Foto: Rodrigo Moreira - JOBZTempo: 30minRendimento: 12 porçõesDi",2023-05-26 12:00 AM,terra.com.br,Positive
"Ele disse que, além de ser uma ... [...] Segundo ele essa festa junina envolve toda a comunidade e promove um momento de união, alegria e celebração. “O prefeito Tião Bocalom tem sido um grande apoiador do circuito desde o início de seu mandato",2023-05-26 12:00 AM,jornalopiniao.net,Positive
KAUAN NO BEAT - REVOADA DE SAO JOAO - Músicas Novas - Mega Qualidade Pra Paredão - 2023 #CABAREDOGORDINHO ...,2023-05-26 12:00 AM,youtube.com,Neutral
Video can be found here,2023-05-26 12:00 AM,youtube.com,Neutral
olha o carro da pamonha! Pag 2 e leve nenhum! 👍😃,2023-05-25 11:54 PM,youtube.com,Positive
Video can be found here,2023-05-25 11:52 PM,youtube.com,Positive
"Bubbles preparou um especial com as 60 melhores frases de festa junina. São diversas opções de mensagens curtas, caipiras e até engraçadas",2023-05-25 11:51 PM,fashionbubbles.com,Positive
Video can be found here,2023-05-25 11:47 PM,youtube.com,Neutral
"que você pode esperar encontrar estão bolos de milho, canjica, pamonha, pé de moleque, e o quentão, uma bebida quente feita",2023-05-25 11:41 PM,sopacultural.com,Neutral
"... [...] “A cada ano a festa reforça o título de grande festa junina da região [...] Toda uma estrutura foi planejada para recepcionar milhares de pessoas por noite, afinal, este evento também contribui com o fortalecimento do nosso comércio e do nosso turismo...",2023-05-25 11:38 PM,sergipepress.com.br,Neutral
"O mês de junho está chegando e com a ele, uma das festas mais esperadas e tradicionais do Brasil: a festa junina [...] Para mais notícias acesse HojePR.com (Foto: Divulgação) O post Sabor de festa junina: Go Coffee lança frappe inédito de Milho Verde com Paçoca apareceu primeiro em HojePR.",2023-05-25 11:37 PM,hojepr.com,Neutral
"O prefeito lembrou que a festa junina movimenta o comércio e a economia regional, especialmente os segmentos como hotelaria, pousadas, restaurantes, bares e transportes com a perspectiva de criação de até 2.500 postos de trabalho temporário.“A nossa cidade é comercial e de serviços que têm ganhos consideráveis neste período”, comentou",2023-05-25 11:30 PM,fabionoticiasdacidade.blogspot.com,Neutral
"A mais tradicional festa junina do extremo sul da Bahia está chegando! A 35ª edição do Arraiá do Água Fria, em Medeiros Neto, acontece nos dias 16, 17 e 18 de junho [...] A Prefeitura Municipal de Medeiros Neto divulgou a programação oficial do ...",2023-05-25 11:29 PM,osollo.com.br,Neutral
  📍𝐏𝐑𝐎𝐆𝐑𝐀𝐌𝐀𝐂̧𝐀̃𝐎 | 17 DE JUNHO ☑▪︎Abertura das barracas 16h▪︎Bingo 20h▪︎Rubinho do Acordem 21h▪︎Lud Rocha e Banda 23h 𝐍𝐎𝐒 𝐕𝐄𝐌𝐎𝐒 𝐋𝐀́! Divulgação Blog Alan Gonçalves,2023-05-25 11:27 PM,blogalangoncalves.net,Neutral
"Quadrilha, festa junina #dancinha #dança #zueira #tikok #humor #comedia #meme #festajunina #quadrilha",2023-05-25 11:25 PM,tiktok.com,Neutral
"É época de celebrar os santos do mês em festas e quadrilhas, ... [...] É hora de saborear quitutes típicos das quermesses, como canjica, pé de moleque, pamonha, cocada, quentão, broas, caldos e outras delícias que, muitas vezes, comemos só nesta época.",2023-05-25 11:24 PM,itatiaia.com.br,Neutral
"Onde comprar ? Dê uma olhada em camisa masculina xadrez em ALGODÃO manga curta de botão, blusa xadrez, blusa masculina, camisa xadrez por R$69,30. Compre na Shopee agora! https://shope.ee/3AcM6zChsc?share_channel_code=7 https://t.co/SEbnzmuCiu",2023-05-25 11:21 PM,twitter.com,Neutral
"mês de junho está chegando e o clima de Festa Junina começa a agitar as distribuidoras de doces da região, que no final do mês de maio, já aumentaram",2023-05-25 11:18 PM,sampi.net.br,Neutral
ainda bem que eu não tinha cabelo pra fazer isso na época mas era todo sábado com camiseta branca e camisa xadrez por cima aberta cantando “VAI NO BANHEIRO PRA GNT SE BEIJAR” 🤪,2023-05-25 11:12 PM,twitter.com,Positive
"1l Aliança. Abrir na Cornershop. Informação. Preço de R$11,39; Formato 1l; Marca Aliança. Descrição. Que tal ter em casa um bebida",2023-05-25 11:09 PM,cornershopapp.com,Neutral
"porque se não fosse a escola, minha vida seria apenas a religião.Foi um processo que começou comigo sendo a criança que não dançava quadrilha na festa junina por ser uma festa pagã e que foi, aos poucos, ampliando a minha visão de mundo.Um pouco dos meus olhos deve ter aberto em uma aula de ciência [...]",2023-05-25 10:58 PM,novoblogdodimitri.blogspot.com,Neutral
"Essa música é o hit e a música do São João 2023!!! Simboraaaa! Divulgar em tudo!!!! Todas as mídias!!! Eitcha, sucessão. @ClaudiaLeitte @eusounattan #SSACARNAVAL #CLAUDIALEITTE #NATTAN #ESPECIALISTAS #SAOJOAO #SAOJOAO2023 https://twitter.com/ClaudiaLeitte/status/1661938904428158976",2023-05-25 10:57 PM,twitter.com,Positive
"... [...] Outra festa junina privada de grande porte que não vai acontecer este ano no recôncavo é o Forró do Lago, que começou em Cabaceiras do Paraguaçu, do cantor Bell Marques, e nos últimos anos era realizado em Santo Antônio de Jesus [...] As ...",2023-05-25 10:42 PM,ailtonpitombo.com.br,Neutral
"... [...] Além da broa de milho, outras comidas típicas das festas juninas incluem o bolo de fubá, a canjica, o pé de moleque, a pamonha, o quentão, entre outros [...] Essas comidas são apreciadas tanto durante as festas nas cidades quanto nas comemorações ...",2023-05-25 10:29 PM,qualidadedevidanocampo.blogspot.com,Neutral
"Será o mês todo de festa junina, repleto de brincadeiras gratuitas com recreadores caracterizados e animados, barracas de comidas, banda com repertório típico, além das diversas opções que a atração de lazer já possui, como infláveis gigantes, tirolesa, bungee trampolim, jet boat etc [...] Informações Mês de Festa Junina do Família no Parque no V",2023-05-25 10:14 PM,bilhetedanoticia.blogspot.com,Neutral
"Apresenta – A Prefeitura do Recife apresenta,... [...] O anúncio ocorre no Sítio Trindade, local tradicional da festa junina da capital pernambucana. Na ocasião serão divulgadas algumas das atrações, polos, estrutura e outras informações sobre a festa",2023-05-25 09:58 PM,blogdofinfa.com.br,Neutral
Nosso primeiro ensaio da semana! . . #quadrilha #dançadequadrilha #qudrilhajunina #festajunina #explorar #aulasdedança #nordestino #dançandoempúblico #quadrilhaestilizada #brasil #nordeste #junina #alagoas #danca #cultura #titok #sãojoão #quadr #forró,2023-05-25 09:58 PM,tiktok.com,Positive
Fazendo pamonha de liquidificador com poucas espigas,2023-05-25 09:54 PM,youtube.com,Neutral
